"VARIABLE","ï..TABLE","DROPDOWN","DESCRIPTION"
"ACRES_IN_STATE_CAT","SIZE","Size of forest holdings","size of forest holdings in acres"
"OWNER_INDIV_JOINT","OWNTYPE","Ownership type","ownership type"
"OWNER_BIZ_PARTNER","OWNTYPE","Ownership type","ownership type"
"OWNER_CLUB","OWNTYPE","Ownership type","ownership type"
"OWNER_FAM_PARTNER","OWNTYPE","Ownership type","ownership type"
"OWNER_FMC","OWNTYPE","Ownership type","ownership type"
"OWNER_FOREST_INDUSTRY","OWNTYPE","Ownership type","ownership type"
"OWNER_NPO","OWNTYPE","Ownership type","ownership type"
"OWNER_OTHER_CORP","OWNTYPE","Ownership type","ownership type"
"OWNER_TIMO","OWNTYPE","Ownership type","ownership type"
"OWNER_TRUST","OWNTYPE","Ownership type","ownership type"
"OWNER_OTHER","OWNTYPE","Ownership type","ownership type"
"PRIMARY_RESIDENCE_2","HOME_FARM","Part of home","whether owners have a primary residence within 1 mile of their forestland"
"SECONDARY_RESIDENCE_2","HOME_FARM","Part of cabin or second home","whether owners have a cabin or secondary residence within 1 mile of their forestland"
"FARM","HOME_FARM","Part of farm","whether owners have a farm within 1 mile of their forestland"
"OBJ_AESTHETICS","OBJ","Objectives: beauty or scenery","the importance of beauty or scenery as a reason for owning forestland"
"OBJ_BIODIVERSITY","OBJ","Objectives: nature or biological diversity","the importance of protecting nature or biological diversity as a reason for owning forestland"
"OBJ_INVEST","OBJ","Objectives: land investment","the importance of land investment as a reason for owning forestland"
"OBJ_PRIVACY","OBJ","Objectives: privacy","the importance of privacy as a reason for owning forestland"
"OBJ_LEGACY","OBJ","Objectives: passing land on to children","the importance of passing land onto children or other heirs as a reason for owning forestland"
"OBJ_FIREWOOD","OBJ","Objectives: firewood","the importance of firewood or biofuel as a reason for owning forestland"
"OBJ_TIMBER","OBJ","Objectives: timber products","the importance of timber products as a reason for owning forestland"
"OBJ_NTFP","OBJ","Objectives: non-timber forest products","the importance of non-timber forest products as a reason for owning forestland"
"OBJ_HUNT","OBJ","Objectives: hunting","the importance of hunting or fishing as a reason for owning forestland"
