VARIABLE,LEVEL,LABEL,ORDER
ACRES_IN_STATE_CAT,1,44205,1
ACRES_IN_STATE_CAT,10,44488,2
ACRES_IN_STATE_CAT,20,20-49,3
ACRES_IN_STATE_CAT,50,50-99,4
ACRES_IN_STATE_CAT,100,100-199,5
ACRES_IN_STATE_CAT,200,200-499,6
ACRES_IN_STATE_CAT,500,500-999,7
ACRES_IN_STATE_CAT,1000,"1,000-4,999",8
ACRES_IN_STATE_CAT,5000,"5,000+",9
ACQ_DEVELOPER,1,Land developer,3
ACQ_TIMO,1,TIMO,4
ACQ_FOREST_INDUSTRY,1,Forest products company,5
ACQ_LOGGER,1,Logging contracter,6
ACQ_GOV,1,Government,7
ACQ_INDIVIDUAL,1,Other individual,2
ACQ_SRC_OTHER,1,Other,8
ACQ_FAMILY,1,Parents or other relatives,1
ACQ_GIFTED,1,Gift,3
ACQ_INHERITED,1,Inherited,2
ACQ_TYPE_OTHER,1,Other,4
ACQ_BOUGHT,1,Purchased,1
SITE_PREP,1,Site preparation,1
TREE_PLANTING,1,Planted trees,2
FIRE_HAZARD_REDUCTION,1,Reduced fire hazard,3
CHEMICAL_APPLICATION,1,Applied chemicals,4
ROAD_MAINTENANCE,1,Built or maintained roads or trails,5
WILDLIFE_HABITAT,1,Improved wildlife habitat,6
ACTIVITY_POSTING,1,Posted land to restrict public access,7
ACTIVITY_PRIV_REC,1,Recreation or hunting (private),8
ACTIVITY_REC_PUBLIC,1,"Recreation or hunting (public, with permission)",9
ACTIVITY_NONE,1,None,10
ACTIVITY_OTHER,1,Other,11
ADV_METH_CONF,1,Conference/workshop,6
ADV_METH_NET,1,Internet,4
ADV_METH_OTH,1,Other,7
ADV_METH_TALK,-2,Not applicable,8
ADV_METH_TALK,1,Talked to someone,1
ADV_METH_VISIT,1,Site visit,2
ADV_METH_WRIT,1,Written materials,3
ADVICE_STATE_FORESTRY,1,Forestry commission forester,1
ADVICE_EXTENSION,1,Extension forester,2
ADVICE_STATE_OTHER,1,State (other),3
ADVICE_NRCS,1,USDA employee,4
ADVICE_FORESTER,1,Consulting forester,5
ADVICE_FOREST_INDUSTRY,1,Forest products company,6
