VARIABLE,ï..TABLE,DROPDOWN,DESCRIPTION
TOTAL,TOTAL,Total area and number of ownerships,family forest ownerships
ACRES_IN_STATE_CAT,SIZE,Size of forest holdings,size of forest holdings in acres
PARC_MULTI,SIZE,Multiple forested parcels,whether owners own multiple forested parcels
OWNTYPE,OWNTYPE_NUM,Ownership type,ownership type
OWNER_INDIV_JOINT,OWNTYPE,Ownership type,ownership type
OWNER_BIZ_PARTNER,OWNTYPE,Ownership type,ownership type
OWNER_CLUB,OWNTYPE,Ownership type,ownership type
OWNER_FAM_PARTNER,OWNTYPE,Ownership type,ownership type
OWNER_FMC,OWNTYPE,Ownership type,ownership type
OWNER_FOREST_INDUSTRY,OWNTYPE,Ownership type,ownership type
OWNER_NPO,OWNTYPE,Ownership type,ownership type
OWNER_OTHER_CORP,OWNTYPE,Ownership type,ownership type
OWNER_TIMO,OWNTYPE,Ownership type,ownership type
OWNER_TRUST,OWNTYPE,Ownership type,ownership type
OWNER_OTHER,OWNTYPE,Ownership type,ownership type
OWNERS_NUMBER_CAT,OWNTYPE_NUM,Number of owners,number of owners
PRIMARY_RESIDENCE_2,HOME_FARM,Part of home,whether owners have a primary residence within 1 mile of their forestland
SECONDARY_RESIDENCE_2,HOME_FARM,Part of cabin or second home,whether owners have a cabin or secondary residence within 1 mile of their forestland
FARM_2,HOME_FARM,Farm ownership,whether owners own farmland
FARM,HOME_FARM,Part of farm,whether owners have a farm within 1 mile of their forestland
OBJ_AESTHETICS,OBJ,Objectives: beauty or scenery,the importance of beauty or scenery as a reason for owning forestland
OBJ_BIODIVERSITY,OBJ,Objectives: nature or biological diversity,the importance of protecting nature or biological diversity as a reason for owning forestland
OBJ_WAT,OBJ,Objectives: water resources,the importance of protecting water resources as a reason for owning forestland
OBJ_WIL,OBJ,Objectives: wildlife,the importance of protecting or improving wildlife habitat as a reason for owning forestland
OBJ_INVEST,OBJ,Objectives: land investment,the importance of land investment as a reason for owning forestland
OBJ_PRIVACY,OBJ,Objectives: privacy,the importance of privacy as a reason for owning forestland
OBJ_FAM,OBJ,Objectives: raising family,the importance of raising family as a reason for owning forestland
OBJ_LEGACY,OBJ,Objectives: passing land on to children,the importance of passing land onto children or other heirs as a reason for owning forestland
OBJ_FIREWOOD,OBJ,Objectives: firewood,the importance of firewood or biofuel as a reason for owning forestland
OBJ_TIMBER,OBJ,Objectives: timber products,the importance of timber products as a reason for owning forestland
OBJ_NTFP,OBJ,Objectives: non-timber forest products,the importance of non-timber forest products as a reason for owning forestland
OBJ_HUNT,OBJ,Objectives: hunting,the importance of hunting or fishing as a reason for owning forestland
OBJ_RECREATE,OBJ,Objectives: recreation,the importance of recreation (other than hunting or fishing) as a reason for owning forestland
OBJ_CAB,OBJ,Objectives: cabin,the importance of owning forestland as part of a cabin or secondary home
OBJ_FARM,OBJ,Objectives: farm,the importance of owning forestland as part of a farm or ranch
OBJ_HOME,OBJ,Objectives: home,the importance of owning forestland as part of a home or vacation home
ACQ_BOUGHT,ACQ,Acquisition type,acquisition type
ACQ_INHERITED,ACQ,Acquisition type,acquisition type
ACQ_GIFTED,ACQ,Acquisition type,acquisition type
ACQ_TYPE_OTHER,ACQ,Acquisition type,acquisition type
ACQ_FAMILY,ACQ,Acquisition source,acquisition source
ACQ_INDIVIDUAL,ACQ,Acquisition source,acquisition source
ACQ_DEVELOPER,ACQ,Acquisition source,acquisition source
ACQ_TIMO,ACQ,Acquisition source,acquisition source
ACQ_FOREST_INDUSTRY,ACQ,Acquisition source,acquisition source
ACQ_LOGGER,ACQ,Acquisition source,acquisition source
ACQ_GOV,ACQ,Acquisition source,acquisition source
ACQ_SRC_OTHER,ACQ,Acquisition source,acquisition source
TENURE_CAT,ACQ,Land tenure,land tenure
TRAN,TRAN,Land transfer,whether forestland was ever sold or given away
TRANSFER,TRAN,Land transfer,how many times forestland was every sold or given away
TRAN_TO_CHILD,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_FAM,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_INDIV,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_BUS,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_GOV,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_OTH,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_DEVELOPER,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_FAMILY,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_FOREST_INDUSTRY,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_GOV,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_INDIVIDUAL,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_LOGGER,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_TIMO,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_OTHER,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRN_RECENT,TRAN,Recent land transfers,whether or not land was transferred in the past 5 years
MAN_OWN,MAN,Primary decision maker,primary forest management decisions maker
MAN_SPOUSE,MAN,Primary decision maker,primary forest management decisions maker
MAN_CHILD,MAN,Primary decision maker,primary forest management decisions maker
MAN_PARENT,MAN,Primary decision maker,primary forest management decisions maker
MAN_FAM,MAN,Primary decision maker,primary forest management decisions maker
MAN_PARTNER,MAN,Primary decision maker,primary forest management decisions maker
MAN_FORESTER,MAN,Primary decision maker,primary forest management decisions maker
MAN_OTH,MAN,Primary decision maker,primary forest management decisions maker
MANAGER_OWNER,MAN,Primary decision maker,primary forest management decisions maker
MANAGER_FAMILY,MAN,Primary decision maker,primary forest management decisions maker
MANAGER_FORESTER,MAN,Primary decision maker,primary forest management decisions maker
MANAGER_LOGGER,MAN,Primary decision maker,primary forest management decisions maker
MANAGER_PARTNER,MAN,Primary decision maker,primary forest management decisions maker
MANAGER_LEASEE,MAN,Primary decision maker,primary forest management decisions maker
MANAGER_OTHER,MAN,Primary decision maker,primary forest management decisions maker
MANAGEMENT_PLAN,MAN_PLAN,Management plan,whether or not landowners have a management plan
MAN_PLAN_WRITER,MAN_PLAN,Management plan writer,who wrote the management plan for the forestland
MAN_PLAN_IMPLEMENT,MAN_PLAN,Management plan implementation,whether or not the landowners' have taken steps to implement the management plan
MAN_PLAN_NO_NONEED,MAN_PLAN_NO,Reasons for not having a management plan,reasons for not having a management plan
MAN_PLAN_NO_BUSY,MAN_PLAN_NO,Reasons for not having a management plan,reasons for not having a management plan
MAN_PLAN_NO_EXPENSIVE,MAN_PLAN_NO,Reasons for not having a management plan,reasons for not having a management plan
MAN_PLAN_NO_COMPLEX,MAN_PLAN_NO,Reasons for not having a management plan,reasons for not having a management plan
MAN_PLAN_NO_OTH,MAN_PLAN_NO,Reasons for not having a management plan,reasons for not having a management plan
TIMBER_HARVEST,CUT,Timber harvesting,whether timber had been harvested during the landowners' tenure
CUT_LOG_SALE,CUT,Wood products harvested (logs),whether logs had been harvested during the landowners' tenure and for what use
CUT_LOG_PERS,CUT,Wood products harvested (logs),whether logs had been harvested during the landowners' tenure and for what use
CUT_LOG_OTH,CUT,Wood products harvested (logs),whether logs had been harvested during the landowners' tenure and for what use
CUT_FIRE_SALE,CUT,Wood products harvested (firewood),whether firewood had been harvested during the landowners' tenure and for what use
CUT_FIRE_PERS,CUT,Wood products harvested (firewood),whether firewood had been harvested during the landowners' tenure and for what use
