"","VARIABLE","LEVEL"
"1","ACQ_BOUGHT","0"
"11","ACQ_DEVELOPER","0"
"21","ACQ_FAMILY","0"
"31","ACQ_FOREST_INDUSTRY","0"
"41","ACQ_GIFTED","0"
"51","ACQ_GOV","0"
"61","ACQ_INDIVIDUAL","0"
"71","ACQ_INHERITED","0"
"81","ACQ_LOGGER","0"
"91","ACQ_SRC_OTHER","0"
"101","ACQ_TIMO","0"
"111","ACQ_TYPE_OTHER","0"
"121","ACQ_YEAR",NA
"123","ACRES_IN_STATE",NA
"170","ACRES_LAND_IN_STATE",NA
"172","ACRES_OUT_OF_STATE",NA
"174","ACTIVITY_NONE","0"
"184","ACTIVITY_OTHER","0"
"194","ACTIVITY_POSTING","0"
"204","ACTIVITY_PRIV_REC","0"
"214","ACTIVITY_REC_PUBLIC","0"
"234","ADVICE_EXTENSION","-2"
"239","ADVICE_EXTENSION","0"
"249","ADVICE_FOREST_INDUSTRY","-2"
"254","ADVICE_FOREST_INDUSTRY","0"
"264","ADVICE_FORESTER","-2"
"269","ADVICE_FORESTER","0"
"279","ADVICE_LANDOWNER","-2"
"284","ADVICE_LANDOWNER","0"
"294","ADVICE_LOGGER","-2"
"299","ADVICE_LOGGER","0"
"309","ADVICE_NPO","-2"
"314","ADVICE_NPO","0"
"324","ADVICE_NRCS","-2"
"329","ADVICE_NRCS","0"
"344","ADVICE_OTHER","0"
"354","ADVICE_STATE_FORESTRY","-2"
"359","ADVICE_STATE_FORESTRY","0"
"369","ADVICE_STATE_OTHER","-2"
"374","ADVICE_STATE_OTHER","0"
"384","ADVICE_UNKNOWN","-2"
"389","ADVICE_UNKNOWN","0"
"399","AGE","-2"
"489","CHEMICAL_APPLICATION","0"
"709","CONCERN_OTHER","1"
"714","CONCERN_OTHER","2"
"719","CONCERN_OTHER","3"
"724","CONCERN_OTHER","4"
"729","CONCERN_OTHER","5"
"734","CONCERN_OTHER","6"
"739","CONCERN_OTHER","7"
"884","CORDS_OF_FIREWOOD",NA
"916","DISABILITY_BLIND","-2"
"931","DISABILITY_MOBILITY","-2"
"981","EDUCATION","-2"
"1026","FARM_ACRES",NA
"1028","FIRE_HAZARD_REDUCTION","0"
"1038","FUTURE_AFFORESTATION","0"
"1048","FUTURE_BUY","0"
"1058","FUTURE_DEFORESTATION","0"
"1068","FUTURE_FIREWOOD","0"
"1078","FUTURE_HEIRS","0"
"1088","FUTURE_MINIMAL","0"
"1098","FUTURE_NO_ACTIVITY","0"
"1108","FUTURE_NO_PLANS","0"
"1118","FUTURE_NTFP","0"
"1128","FUTURE_OTHER","0"
"1138","FUTURE_SAWLOGS","0"
"1148","FUTURE_SELL","0"
"1158","FUTURE_SUBDIVIDE","0"
"1168","FUTURE_UNKNOWN","0"
"1178","GENDER","-2"
"1373","HEALTH_OTHER","1"
"1378","HEALTH_OTHER","2"
"1383","HEALTH_OTHER","3"
"1388","HEALTH_OTHER","4"
"1393","HEALTH_OTHER","5"
"1398","HEALTH_OTHER","6"
"1403","HEALTH_OTHER","7"
"1513","HISPANIC","-2"
"1533","HRV_CLEAR","0"
"1563","HRV_FIRE","-2"
