"","VARIABLE","LEVEL"
"1","AC_LAND",NA
"3","AC_WOOD",NA
"50","ACQ_SRC_BUS","0"
"60","ACQ_SRC_FAM","0"
"70","ACQ_SRC_GOV","0"
"80","ACQ_SRC_INDIV","0"
"90","ACQ_SRC_OTH","0"
"100","ACQ_SRC_PARENT","0"
"110","ACQ_SRC_SPOUSE","0"
"120","ACQ_TYPE_GIFT","0"
"130","ACQ_TYPE_INHERIT","0"
"140","ACQ_TYPE_OTH","0"
"150","ACQ_TYPE_PURCH","0"
"160","ACQ_YEAR",NA
"162","ACT_CONTROL_BURN","0"
"172","ACT_CUT_PERS","0"
"182","ACT_CUT_SALE","0"
"192","ACT_GRAZE","0"
"202","ACT_INS","0"
"212","ACT_INVA","0"
"222","ACT_NONE","0"
"232","ACT_NTFP","0"
"242","ACT_RED_FIRE","0"
"252","ACT_ROAD","0"
"262","ACT_TRAIL","0"
"272","ACT_WILD","0"
"282","ADV_METH_CONF","-2"
"287","ADV_METH_CONF","0"
"297","ADV_METH_NET","-2"
"302","ADV_METH_NET","0"
"312","ADV_METH_OTH","-2"
"317","ADV_METH_OTH","0"
"332","ADV_METH_TALK","0"
"342","ADV_METH_VISIT","-2"
"347","ADV_METH_VISIT","0"
"357","ADV_METH_WRIT","-2"
"362","ADV_METH_WRIT","0"
"372","ADV_SRC_FAM","-2"
"377","ADV_SRC_FAM","0"
"387","ADV_SRC_FED","-2"
"392","ADV_SRC_FED","0"
"402","ADV_SRC_OTH","-2"
"407","ADV_SRC_OTH","0"
"417","ADV_SRC_OWNER","-2"
"422","ADV_SRC_OWNER","0"
"432","ADV_SRC_PRIV","-2"
"437","ADV_SRC_PRIV","0"
"452","ADV_SRC_STATE","0"
"462","ADV_TOP_CONS","-2"
"467","ADV_TOP_CONS","0"
"477","ADV_TOP_FIRE","-2"
"482","ADV_TOP_FIRE","0"
"497","ADV_TOP_INS","0"
"507","ADV_TOP_OTH","-2"
"512","ADV_TOP_OTH","0"
"522","ADV_TOP_TIM","-2"
"527","ADV_TOP_TIM","0"
"537","ADV_TOP_WILD","-2"
"542","ADV_TOP_WILD","0"
"1212","CUT_CHIP_NO","0"
"1217","CUT_CHIP_NO","1"
"1222","CUT_CHIP_OTH","0"
"1232","CUT_CHIP_PERS","0"
"1242","CUT_CHIP_SALE","0"
"1252","CUT_FIRE_NO","0"
"1257","CUT_FIRE_NO","1"
"1262","CUT_FIRE_OTH","0"
"1272","CUT_FIRE_PERS","0"
"1282","CUT_FIRE_SALE","0"
"1307","CUT_LOG_NO","0"
"1312","CUT_LOG_NO","1"
"1317","CUT_LOG_OTH","0"
"1327","CUT_LOG_PERS","0"
"1337","CUT_LOG_SALE","0"
"1362","CUT_OTH_NO","0"
"1367","CUT_OTH_NO","1"
"1372","CUT_OTH_OTH","0"
"1382","CUT_OTH_PERS","0"
"1392","CUT_OTH_SALE","0"
"1402","CUT_UNWAN_NO","0"
"1407","CUT_UNWAN_NO","1"
"1412","CUT_UNWAN_OTH","0"
"1422","CUT_UNWAN_PERS","0"
"1432","CUT_UNWAN_SALE","0"
"2022","HELP_TYPE_CONF","0"
"2032","HELP_TYPE_NA","0"
"2042","HELP_TYPE_NET","0"
"2052","HELP_TYPE_OTH","0"
"2062","HELP_TYPE_TALK","0"
"2072","HELP_TYPE_VISIT","0"
"2082","HELP_TYPE_WRIT","0"
"2137","INC_WOOD",NA
"2219","LEASE_ACT_CARB","-2"
"2224","LEASE_ACT_CARB","0"
"2234","LEASE_ACT_CONS","-2"
"2239","LEASE_ACT_CONS","0"
"2249","LEASE_ACT_GRAZE","-2"
"2254","LEASE_ACT_GRAZE","0"
"2269","LEASE_ACT_HUNT","0"
"2279","LEASE_ACT_OTH","-2"
"2284","LEASE_ACT_OTH","0"
"2294","LEASE_ACT_REC","-2"
"2299","LEASE_ACT_REC","0"
"2309","LEASE_ACT_WAT","-2"
"2314","LEASE_ACT_WAT","0"
"2324","LEASE_ACT_WILD","-2"
"2329","LEASE_ACT_WILD","0"
"2339","MAN_CHILD","0"
"2349","MAN_FAM","0"
"2359","MAN_FORESTER","0"
"2369","MAN_OTH","0"
"2379","MAN_OWN","0"
"2389","MAN_PARENT","0"
"2399","MAN_PARTNER","0"
"2434","MAN_PLAN_NO_BUSY","-2"
"2439","MAN_PLAN_NO_BUSY","0"
"2449","MAN_PLAN_NO_COMPLEX","-2"
"2454","MAN_PLAN_NO_COMPLEX","0"
"2464","MAN_PLAN_NO_EXPENSIVE","-2"
"2469","MAN_PLAN_NO_EXPENSIVE","0"
"2484","MAN_PLAN_NO_NONEED","0"
"2494","MAN_PLAN_NO_OTH","-2"
