,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED
1,AC_LAND,,,,1
50,ACQ_SRC_BUS,0,,,1
60,ACQ_SRC_FAM,0,,,1
70,ACQ_SRC_GOV,0,,,1
80,ACQ_SRC_INDIV,0,,,1
90,ACQ_SRC_OTH,0,,,1
100,ACQ_SRC_PARENT,0,,,1
110,ACQ_SRC_SPOUSE,0,,,1
120,ACQ_TYPE_GIFT,0,,,1
130,ACQ_TYPE_INHERIT,0,,,1
140,ACQ_TYPE_OTH,0,,,1
145,ACQ_TYPE_OTH,1,1,1,1
150,ACQ_TYPE_PURCH,0,,,1
160,ACQ_YEAR,,,,1
162,ACT_CONTROL_BURN,0,,,1
172,ACT_CUT_PERS,0,,,1
182,ACT_CUT_SALE,0,,,1
192,ACT_GRAZE,0,,,1
202,ACT_INS,0,,,1
212,ACT_INVA,0,,,1
222,ACT_NONE,0,,,1
232,ACT_NTFP,0,,,1
242,ACT_RED_FIRE,0,,,1
252,ACT_ROAD,0,,,1
262,ACT_TRAIL,0,,,1
272,ACT_WILD,0,,,1
282,ADV_METH_CONF,-2,,,1
287,ADV_METH_CONF,0,,,1
297,ADV_METH_NET,-2,,,1
302,ADV_METH_NET,0,,,1
312,ADV_METH_OTH,-2,,,1
317,ADV_METH_OTH,0,,,1
332,ADV_METH_TALK,0,,,1
342,ADV_METH_VISIT,-2,,,1
347,ADV_METH_VISIT,0,,,1
357,ADV_METH_WRIT,-2,,,1
362,ADV_METH_WRIT,0,,,1
372,ADV_SRC_FAM,-2,,,1
377,ADV_SRC_FAM,0,,,1
387,ADV_SRC_FED,-2,,,1
392,ADV_SRC_FED,0,,,1
402,ADV_SRC_OTH,-2,,,1
407,ADV_SRC_OTH,0,,,1
417,ADV_SRC_OWNER,-2,,,1
422,ADV_SRC_OWNER,0,,,1
432,ADV_SRC_PRIV,-2,,,1
437,ADV_SRC_PRIV,0,,,1
452,ADV_SRC_STATE,0,,,1
462,ADV_TOP_CONS,-2,,,1
467,ADV_TOP_CONS,0,,,1
477,ADV_TOP_FIRE,-2,,,1
482,ADV_TOP_FIRE,0,,,1
497,ADV_TOP_INS,0,,,1
507,ADV_TOP_OTH,-2,,,1
512,ADV_TOP_OTH,0,,,1
522,ADV_TOP_TIM,-2,,,1
527,ADV_TOP_TIM,0,,,1
537,ADV_TOP_WILD,-2,,,1
542,ADV_TOP_WILD,0,,,1
1147,COST,0,1,1,1
1152,COST,1,1,1,1
1157,COST,9,1,1,1
1162,COST_5YR,-2,1,1,1
1217,CUT_CHIP_NO,0,,,1
1222,CUT_CHIP_NO,1,,,1
1227,CUT_CHIP_OTH,0,,,1
1232,CUT_CHIP_OTH,1,1,1,1
1237,CUT_CHIP_PERS,0,,,1
1242,CUT_CHIP_PERS,1,1,1,1
1247,CUT_CHIP_SALE,0,,,1
1252,CUT_CHIP_SALE,1,1,1,1
1257,CUT_FIRE_NO,0,,,1
1262,CUT_FIRE_NO,1,,,1
1267,CUT_FIRE_OTH,0,,,1
1272,CUT_FIRE_OTH,1,1,1,1
1277,CUT_FIRE_PERS,0,,,1
1282,CUT_FIRE_PERS,1,1,1,1
1287,CUT_FIRE_SALE,0,,,1
1292,CUT_FIRE_SALE,1,1,1,1
