TABLE_NUMBER,TABLE,TABLE_NAME,SUBTABLE_NUMBER,SUBTABLE,HEADER,DESCRIPTION,FOOTNOTE
1,FOREST_AREA,Forest land by ownership category,,,,Forest land by ownership category,
2,COOP_RATE,Cooperation rate,,,,Sample size and cooperation rate,
3,TOTAL,Area and number of ownerships,,,,area and number of ownerships,
4,SIZE,Size of forest holdings,1,AC_WOOD,Size of forest holdings (acres),size of forest holdings and whether they own multiple forested parcels,
4,SIZE,Size of forest holdings,2,PARC_MULTI,Multiple parcels,size of forest holdings and whether they own multiple forested parcels,
4,SIZE,Size of forest holdings,NA,FOOTNOTE,NA,size of forest holdings and whether they own multiple forested parcels,
5,OWNTYPE_NUM,Ownership type,1,OWNTYPE,Ownership type,ownership type and number of owners,
5,OWNTYPE_NUM,Number of owners,2,OWNERS_NUMBER,Number of owners,ownership type and number of owners,
5,OWNTYPE_NUM,Number of owners,NA,FOOTNOTE,NA,ownership type and number of owners,
6,HOME_FARM,"Part of primary residence, secondary residence, or farm",1,HOME,Have a primary residence within 1 mile,"whether they have a primary residence, secondary residence, or farm within 1 mile of their forest land",
6,HOME_FARM,"Part of primary residence, secondary residence, or farm",2,CABIN,Have a secondary residence within 1 mile,"whether they have a primary residence, secondary residence, or farm within 1 mile of their forest land",
6,HOME_FARM,"Part of primary residence, secondary residence, or farm",3,FARM,Have a farm within 1 mile,"whether they have a primary residence, secondary residence, or farm within 1 mile of their forest land",
7.1,OBJ_1,Reason for owning,1,OBJ_BEA,Beauty or scenery,reason for owning,
7.1,OBJ_1,Reason for owning,2,OBJ_NAT,Nature protection,reason for owning,
7.1,OBJ_1,Reason for owning,3,OBJ_WAT,Water protection,reason for owning,
7.1,OBJ_1,Reason for owning,4,OBJ_WIL,Wildlife habitat,reason for owning,
7.1,OBJ_1,Reason for owning,5,OBJ_INV,Land investment,reason for owning,
7.1,OBJ_1,Reason for owning,6,OBJ_PRI,Privacy,reason for owning,
7.2,OBJ_2,Reason for owning,1,OBJ_FAM,Raise family,CONTINUED,
7.2,OBJ_2,Reason for owning,2,OBJ_CHILD,Family legacy,CONTINUED,
7.2,OBJ_2,Reason for owning,3,OBJ_FIRE,Firewood,CONTINUED,
7.2,OBJ_2,Reason for owning,4,OBJ_TIM,Timber products,CONTINUED,
7.2,OBJ_2,Reason for owning,5,OBJ_NTFP,Nontimber forest products,CONTINUED,
7.2,OBJ_2,Reason for owning,6,OBJ_HUNT,Hunting,CONTINUED,
7.3,OBJ_3,Reason for owning,,,Recreation,CONTINUED,
8,ACQ,Acquisition,1,ACQ_TYPE,Acquisition type,"acquisition type, source, and length of ownership",NOT_MUTUAL
8,ACQ,Acquisition,2,ACQ_SRC,Acquisition source,"acquisition type, source, and length of ownership",NOT_MUTUAL
8,ACQ,Acquisition,3,TENURE_CAT,Length of ownership (years),"acquisition type, source, and length of ownership",
8,ACQ,Acquisition,NA,FOOTNOTE,Length of ownership (years),"acquisition type, source, and length of ownership",
9,TRAN,Past land transfer,1,TRAN,Land sold or given away,"whether land was sold, given away, or subdivided and to whom it was sold or given to",
9,TRAN,Past land transfer,2,PARC,Land subdivided,"whether land was sold, given away, or subdivided and to whom it was sold or given to",
9,TRAN,Past land transfer,3,TRAN_TO,To whom land was sold or given away to,"whether land was sold, given away, or subdivided and to whom it was sold or given to",NOT_MUTUAL
9,TRAN,Past land transfer,4,TRAN_RECENT,Land sold or given away in previous 5 years,"whether land was sold, given away, or subdivided and to whom it was sold or given to",
10,MAN,Decisionmaker,,,Decisionmaker,forest management decisionmaker,NOT_MUTUAL
11,MAN_PLAN,Management plan,1,MAN_PLAN_KNOW,Familiarity with written management plans,written management plan familiarity and status,
11,MAN_PLAN,Management plan,2,MAN_PLAN,Has a written management plan,written management plan familiarity and status,
11,MAN_PLAN,Management plan,3,MAN_PLAN_WRITER,Management plan writer,written management plan familiarity and status,
11,MAN_PLAN,Management plan,4,MAN_PLAN_IMPLEMENT,Written management plan has been implemented,written management plan familiarity and status,
12,CUT,Timber harvesting,1,CUT,Trees have been cut or removed,"timber harvesting status, products harvested, reasons for harvesting, and use of a forester",
12,CUT,Timber harvesting,2,CUT_TYPE,Types of products cut/removed,"timber harvesting status, products harvested, reasons for harvesting, and use of a forester",NOT_MUTUAL
12,CUT,Timber harvesting,3,CUT_WHY,Reason for cutting/removal,"timber harvesting status, products harvested, reasons for harvesting, and use of a forester",NOT_MUTUAL
