VARIABLE,LEVEL,LABEL,ORDER
AC_HARV_YEAR_CAT,0,0-999,1
AC_HARV_YEAR_CAT,1,"1,000-1,999",2
AC_HARV_YEAR_CAT,2,"2,000-4,999",3
AC_HARV_YEAR_CAT,5,"5,000-9,999",4
AC_HARV_YEAR_CAT,10,"10,000-49,999",5
AC_HARV_YEAR_CAT,50,"50,000-99,999",6
AC_HARV_YEAR_CAT,100,"100,000+",7
AC_WOOD_CAT,45,"45,000-99,999",1
AC_WOOD_CAT,100,"100,000-199,999",2
AC_WOOD_CAT,200,"200,000-499,999",3
AC_WOOD_CAT,500,"500,000-999,999",4
AC_WOOD_CAT,1000,"1,000,000-1,999,999",5
AC_WOOD_CAT,2000,"2,000,000-2,999,999",6
AC_WOOD_CAT,3000,"3,000,000+",7
ACQ_PAST_CAT,0,0-999,1
ACQ_PAST_CAT,1,"1,000-1,999",2
ACQ_PAST_CAT,2,"2,000-4,999",3
ACQ_PAST_CAT,5,"5,000-9,999",4
ACQ_PAST_CAT,10,"10,000-49,999",5
ACQ_PAST_CAT,50,"50,000-99,999",6
ACQ_PAST_CAT,100,"100,000+",7
ACT_AGRO,1,Agroforestry/livestock grazing,11
ACT_CONTROL,1,Controlled burn/prescribed fire,5
ACT_CUT_SALE,1,Cut and/or removed trees for sale,1
ACT_CUT_SALE_OWN,1,Cut and/or removed trees for company use,2
ACT_FERT,1,Used fertilizers,12
ACT_HERB,1,Used herbicides,13
ACT_INS,1,Eliminated or reduced unwanted insects or diseases,7
ACT_INSECTI,1,Used insecticides,14
ACT_INVA,1,Eliminated or reduced invasive plants,6
ACT_NTFP,1,Collected nontimber forest products,3
ACT_OTH,1,Other,15
ACT_RED_FIRE,1,Reduced fire hazard,4
ACT_ROAD,1,Road construction or maintenance,8
ACT_TRAIL,1,Trail construction or maintenance,9
ACT_WILD,1,Improved wildlife habitat,10
CERT,1,Yes,1
CERT,0,No,2
CERT_FSC,1,Forest Stewardship Council (FSC),3
CERT_OTH,1,Other,5
CERT_PEFC,1,Programme for the Endorsement of Forest Certification (PEFC),1
CERT_PEFC,-2,Not applicable,6
CERT_PERC_CAT,0,0-49%,1
CERT_PERC_CAT,50,50-69%,2
CERT_PERC_CAT,70,70-79%,3
CERT_PERC_CAT,80,80-89%,4
CERT_PERC_CAT,90,90-94%,5
CERT_PERC_CAT,95,95%+,6
CERT_PERC_CAT,-2,Not applicable,7
CERT_SFI,1,Sustainable Forestry Initiative (SFI),2
CERT_TREE,1,American Tree Farm System,4
CNC_AIR,5,Great concern,1
CNC_AIR,4,Concern,2
CNC_AIR,3,Moderate concern,3
CNC_AIR,2,Of little concern,4
CNC_AIR,1,No concern,5
CNC_AIR,8,Not applicable,6
CNC_ANIM,5,Great concern,1
CNC_ANIM,4,Concern,2
CNC_ANIM,3,Moderate concern,3
CNC_ANIM,2,Of little concern,4
CNC_ANIM,1,No concern,5
CNC_ANIM,8,Not applicable,6
CNC_CERT,5,Great concern,1
CNC_CERT,4,Concern,2
