"","VARIABLE","LEVEL"
"1","AC_AK",NA
"3","AC_AL",NA
"5","AC_AR",NA
"7","AC_AZ",NA
"9","AC_CA",NA
"11","AC_CO",NA
"13","AC_CT",NA
"15","AC_DE",NA
"17","AC_FL",NA
"19","AC_GA",NA
"21","AC_HARV_YEAR",NA
"58","AC_HI",NA
"60","AC_IA",NA
"62","AC_ID",NA
"64","AC_IL",NA
"66","AC_IN",NA
"68","AC_KS",NA
"70","AC_KY",NA
"72","AC_LA",NA
"74","AC_MA",NA
"76","AC_MD",NA
"78","AC_ME",NA
"80","AC_MI",NA
"82","AC_MN",NA
"84","AC_MO",NA
"86","AC_MS",NA
"88","AC_MT",NA
"90","AC_NC",NA
"92","AC_NCON",NA
"94","AC_ND",NA
"96","AC_NE",NA
"98","AC_NH",NA
"100","AC_NHW",NA
"102","AC_NJ",NA
"104","AC_NM",NA
"106","AC_NMX",NA
"108","AC_NV",NA
"110","AC_NY",NA
"112","AC_OH",NA
"114","AC_OK",NA
"116","AC_OR",NA
"118","AC_OTHER",NA
"120","AC_PA",NA
"122","AC_PCON",NA
"124","AC_PHW",NA
"126","AC_PMX",NA
"128","AC_RI",NA
"130","AC_SC",NA
"132","AC_SCON",NA
"134","AC_SD",NA
"136","AC_SHW",NA
"138","AC_SMX",NA
"140","AC_TN",NA
"142","AC_TX",NA
"144","AC_UT",NA
"146","AC_VA",NA
"148","AC_VT",NA
"150","AC_WA",NA
"152","AC_WCON",NA
"154","AC_WHW",NA
"156","AC_WI",NA
"158","AC_WMX",NA
"160","AC_WOOD",NA
"197","AC_WV",NA
"199","AC_WY",NA
"201","ACQ_PAST",NA
"238","ACT_AGRO","0"
"248","ACT_CONTROL","0"
"258","ACT_CUT_SALE","0"
"268","ACT_CUT_SALE_OWN","0"
"278","ACT_FERT","0"
"288","ACT_HERB","0"
"298","ACT_INS","0"
"308","ACT_INSECTI","0"
"318","ACT_INVA","0"
"328","ACT_NTFP","0"
"338","ACT_OTH","0"
"348","ACT_RED_FIRE","0"
"358","ACT_ROAD","0"
"368","ACT_TRAIL","0"
"378","ACT_WILD","0"
"398","CERT_FSC","-2"
"403","CERT_FSC","0"
"413","CERT_OTH","-2"
"418","CERT_OTH","0"
"433","CERT_PEFC","0"
"478","CERT_PERCENT",NA
"480","CERT_SFI","-2"
"485","CERT_SFI","0"
"495","CERT_TREE","-2"
"500","CERT_TREE","0"
"1410","COMM_ASSIST","0"
"1420","COMM_CHARITY","0"
"1430","COMM_GENPOP","0"
"1440","COMM_LO","0"
"1450","COMM_OTH","0"
"1485","EASE_PERC",NA
"1532","HOW_BIKE","-2"
"1537","HOW_BIKE","0"
"1547","HOW_CAMP","-2"
"1552","HOW_CAMP","0"
"1562","HOW_FISH","-2"
"1567","HOW_FISH","0"
"1577","HOW_HIKE","-2"
"1582","HOW_HIKE","0"
"1592","HOW_HORSE","-2"
"1597","HOW_HORSE","0"
"1612","HOW_HUNT","0"
"1622","HOW_OHV","-2"
"1627","HOW_OHV","0"
"1637","HOW_OTH","-2"
"1642","HOW_OTH","0"
"1652","HOW_SKI","-2"
"1657","HOW_SKI","0"
"1707","MAN_IN","0"
"1717","MAN_LOCAL","0"
"1727","MAN_NATL","0"
"1737","MAN_OTH","0"
"1747","MANPLAN_PERC",NA
"2059","OBJ_OTH","1"
"2064","OBJ_OTH","2"
"2069","OBJ_OTH","3"
"2074","OBJ_OTH","4"
"2079","OBJ_OTH","5"
"2084","OBJ_OTH","8"
"2209","REC_EMP","0"
"2219","REC_FEE","0"
"2229","REC_GENPOP","0"
"2239","REC_NEIGH","0"
"2249","REC_NOBODY","0"
"2259","REC_OTH","0"
"2279","RES_COOP","0"
"2289","RES_FUND","0"
"2299","RES_IN","0"
"2344","SEED_NCON",NA
"2346","SEED_NHW",NA
"2348","SEED_OTHER",NA
"2350","SEED_PCON",NA
"2352","SEED_PHW",NA
"2354","SEED_SCON",NA
"2356","SEED_SHW",NA
"2358","SEED_WCON",NA
"2360","SEED_WHW",NA
"2362","SILV_COMM","0"
"2372","SILV_GROUP","0"
"2382","SILV_NAT","0"
"2392","SILV_OTH","0"
"2402","SILV_PLANT","0"
"2412","SILV_PRECOM","0"
"2422","SILV_REAL","0"
"2432","SILV_SEED","0"
"2442","SILV_SHELTER","0"
"2452","SILV_SINGLE","0"
"2462","SOLD_PAST",NA
"2524","USE_AGRO","0"
"2534","USE_CARB","0"
"2544","USE_HAB","0"
"2554","USE_HUNT","0"
"2564","USE_MIN","0"
"2574","USE_OTH","0"
"2584","USE_PWAT","0"
"2594","USE_REC","0"
"2604","USE_TIM","0"
"2614","USE_WET","0"
