,VARIABLE,LEVEL,_LABEL,_TABLE,CHECKED
1,AC_AK,NA,,,1
3,AC_AL,NA,,,1
5,AC_AR,NA,,,1
7,AC_AZ,NA,,,1
9,AC_CA,NA,,,1
11,AC_CO,NA,,,1
13,AC_CT,NA,,,1
15,AC_DE,NA,,,1
17,AC_FL,NA,,,1
19,AC_GA,NA,,,1
21,AC_HARV_YEAR,NA,,,1
23,AC_HARV_YEAR_CAT,0,1,1,1
28,AC_HARV_YEAR_CAT,1,1,1,1
33,AC_HARV_YEAR_CAT,10,1,1,1
38,AC_HARV_YEAR_CAT,100,1,1,1
43,AC_HARV_YEAR_CAT,2,1,1,1
48,AC_HARV_YEAR_CAT,5,1,1,1
53,AC_HARV_YEAR_CAT,50,1,1,1
58,AC_HI,NA,,,1
60,AC_IA,NA,,,1
62,AC_ID,NA,,,1
64,AC_IL,NA,,,1
66,AC_IN,NA,,,1
68,AC_KS,NA,,,1
70,AC_KY,NA,,,1
72,AC_LA,NA,,,1
74,AC_MA,NA,,,1
76,AC_MD,NA,,,1
78,AC_ME,NA,,,1
80,AC_MI,NA,,,1
82,AC_MN,NA,,,1
84,AC_MO,NA,,,1
86,AC_MS,NA,,,1
88,AC_MT,NA,,,1
90,AC_NC,NA,,,1
92,AC_NCON,NA,,,1
94,AC_ND,NA,,,1
96,AC_NE,NA,,,1
98,AC_NH,NA,,,1
100,AC_NHW,NA,,,1
102,AC_NJ,NA,,,1
104,AC_NM,NA,,,1
106,AC_NMX,NA,,,1
108,AC_NV,NA,,,1
110,AC_NY,NA,,,1
112,AC_OH,NA,,,1
114,AC_OK,NA,,,1
116,AC_OR,NA,,,1
118,AC_OTHER,NA,,,1
120,AC_PA,NA,,,1
122,AC_PCON,NA,,,1
124,AC_PHW,NA,,,1
126,AC_PMX,NA,,,1
128,AC_RI,NA,,,1
130,AC_SC,NA,,,1
132,AC_SCON,NA,,,1
134,AC_SD,NA,,,1
136,AC_SHW,NA,,,1
138,AC_SMX,NA,,,1
140,AC_TN,NA,,,1
142,AC_TX,NA,,,1
144,AC_UT,NA,,,1
146,AC_VA,NA,,,1
148,AC_VT,NA,,,1
150,AC_WA,NA,,,1
152,AC_WCON,NA,,,1
154,AC_WHW,NA,,,1
156,AC_WI,NA,,,1
158,AC_WMX,NA,,,1
177,AC_WOOD_CAT,2000,1,1,1
182,AC_WOOD_CAT,3000,1,1,1
187,AC_WOOD_CAT,45,1,1,1
197,AC_WV,NA,,,1
199,AC_WY,NA,,,1
201,ACQ_PAST,NA,,,1
203,ACQ_PAST_CAT,0,1,1,1
208,ACQ_PAST_CAT,1,1,1,1
213,ACQ_PAST_CAT,10,1,1,1
218,ACQ_PAST_CAT,100,1,1,1
223,ACQ_PAST_CAT,2,1,1,1
228,ACQ_PAST_CAT,5,1,1,1
233,ACQ_PAST_CAT,50,1,1,1
238,ACT_AGRO,0,,,1
243,ACT_AGRO,1,1,1,1
248,ACT_CONTROL,0,,,1
253,ACT_CONTROL,1,1,1,1
258,ACT_CUT_SALE,0,,,1
268,ACT_CUT_SALE_OWN,0,,,1
273,ACT_CUT_SALE_OWN,1,1,1,1
278,ACT_FERT,0,,,1
283,ACT_FERT,1,1,1,1
288,ACT_HERB,0,,,1
293,ACT_HERB,1,1,1,1
298,ACT_INS,0,,,1
