VARIABLE,LEVEL,LABEL,ORDER
AC_LAND_CAT,1,1-9,1
AC_LAND_CAT,10,10-19,10
AC_LAND_CAT,20,20-49,20
AC_LAND_CAT,50,50-99,50
AC_LAND_CAT,100,100-199,100
AC_LAND_CAT,200,200-499,200
AC_LAND_CAT,500,500-999,500
AC_LAND_CAT,1000,"1,000-4,999",1000
AC_LAND_CAT,5000,"5,000+",5000
AC_WOOD_CAT,1,1-9,1
AC_WOOD_CAT,10,10-19,2
AC_WOOD_CAT,20,20-49,3
AC_WOOD_CAT,50,50-99,4
AC_WOOD_CAT,100,100-199,5
AC_WOOD_CAT,200,200-499,6
AC_WOOD_CAT,500,500-999,7
AC_WOOD_CAT,1000,"1,000-4,999",8
AC_WOOD_CAT,5000,"5,000+",9
AC_WOOD,NA,Acres,NA
ACQ_SRC_BUS,1,Business,5
ACQ_SRC_FAM,1,Other family,3
ACQ_SRC_GOV,1,Government,6
ACQ_SRC_INDIV,1,Other individual,4
ACQ_SRC_OTH,1,Other,7
ACQ_SRC_PARENT,1,Parents,1
ACQ_SRC_SPOUSE,1,Spouse,2
ACQ_TYPE_GIFT,1,Gift,3
ACQ_TYPE_INHERIT,1,Inherited,2
ACQ_TYPE_OTHER,1,Other,4
ACQ_TYPE_PURCH,1,Purchased,1
ACT_CONTROL_BURN,1,Controlled burn/prescribed fire,5
ACT_CUT_PERS,1,Cut and/or removed trees for own use,2
ACT_CUT_SALE,1,Cut and/or removed trees for sale,1
ACT_GRAZE,1,Livestock grazing,11
ACT_INS,1,Eliminated or reduced unwanted insects or diseases,7
ACT_INVA,1,Eliminated or reduced invasive plants,6
ACT_NONE,1,None,13
ACT_NTFP,1,Collected nontimber forest products,3
ACT_OTH,1,Other,12
ACT_RED_FIRE,1,Reduced fire hazard,4
ACT_ROAD,1,Road construction or maintenance,8
ACT_TRAIL,1,Trail construction or maintenance,9
ACT_WILD,1,Improved wildlife habitat,10
ADV_METH_CONF,1,Conference/workshop,6
ADV_METH_EMAIL,1,Email,5
ADV_METH_NET,1,Internet,4
ADV_METH_OTH,1,Other,7
ADV_METH_TALK,-2,Not applicable,8
ADV_METH_TALK,1,Talked to someone,1
ADV_METH_VISIT,1,Site visit,2
ADV_METH_WRIT,1,Written materials,3
ADV_SRC_EXT,1,Extension,2
ADV_SRC_FAM,1,Family/friends,6
ADV_SRC_FED,1,Federal,3
ADV_SRC_OTH,1,Other,7
ADV_SRC_OWNER,1,Other landowners,5
ADV_SRC_PRIV,1,Private consultant,4
ADV_SRC_STATE,-2,Not applicable,8
ADV_SRC_STATE,1,State,1
ADV_TOP_CONS,1,Land conservation,4
ADV_TOP_FIRE,1,Fire safety,5
ADV_TOP_INS,-2,Not applicable,8
ADV_TOP_INS,1,Unwanted insects/diseases,1
ADV_TOP_INVAS,1,Invasive plants,6
ADV_TOP_OTH,1,Other,7
ADV_TOP_TIM,1,Timber production,3
ADV_TOP_WILD,1,Wildlife/habitat,2
ADVICE,0,No,2
ADVICE,1,Yes,1
ATT_SELL,1,Strongly disagree,5
ATT_SELL,2,Disagree,4
ATT_SELL,3,Neither agree nor disagree,3
ATT_SELL,4,Agree,2
ATT_SELL,5,Strongly agree,1
ATT_WOODED,1,Strongly disagree,5
ATT_WOODED,2,Disagree,4
ATT_WOODED,3,Neither agree nor disagree,3
ATT_WOODED,4,Agree,2
ATT_WOODED,5,Strongly agree,1
CABIN_2,0,No,2
CABIN_2,1,Yes,1
CARBON,0,No,2
CARBON,1,Yes,1
CARBON,9,Don't know,3
CARBON_KNOW,1,Not at all familiar,5
CARBON_KNOW,2,Slightly familiar,4
CARBON_KNOW,3,Somewhat familiar,3
CARBON_KNOW,4,Moderately familiar,2
CARBON_KNOW,5,Extremely familiar,1
CERT,0,No,2
CERT,1,Yes,1
CERT,9,Don't know,3
CERT_KNOW,1,Not at all familiar,5
CERT_KNOW,2,Slightly familiar,4
CERT_KNOW,3,Somewhat familiar,3
CERT_KNOW,4,Moderately familiar,2
CERT_KNOW,5,Extremely familiar,1
CNC_AIR,1,No concern,5
CNC_AIR,2,Of little concern,4
CNC_AIR,3,Moderate concern,3
CNC_AIR,4,Concern,2
CNC_AIR,5,Great concern,1
CNC_AIR,8,Not applicable,6
CNC_ANIM,1,No concern,5
CNC_ANIM,2,Of little concern,4
CNC_ANIM,3,Moderate concern,3
CNC_ANIM,4,Concern,2
CNC_ANIM,5,Great concern,1
CNC_ANIM,8,Not applicable,6
CNC_CLIM,1,No concern,5
CNC_CLIM,2,Of little concern,4
CNC_CLIM,3,Moderate concern,3
CNC_CLIM,4,Concern,2
CNC_CLIM,5,Great concern,1
CNC_CLIM,8,Not applicable,6
CNC_DEV,1,No concern,5
CNC_DEV,2,Of little concern,4
CNC_DEV,3,Moderate concern,3
CNC_DEV,4,Concern,2
CNC_DEV,5,Great concern,1
CNC_DEV,8,Not applicable,6
CNC_DUMP,1,No concern,5
CNC_DUMP,2,Of little concern,4
CNC_DUMP,3,Moderate concern,3
CNC_DUMP,4,Concern,2
CNC_DUMP,5,Great concern,1
CNC_DUMP,8,Not applicable,6
CNC_FIRE,1,No concern,5
CNC_FIRE,2,Of little concern,4
CNC_FIRE,3,Moderate concern,3
CNC_FIRE,4,Concern,2
CNC_FIRE,5,Great concern,1
CNC_FIRE,8,No applicable,6
CNC_GOVT,1,No concern,5
CNC_GOVT,2,Of little concern,4
CNC_GOVT,3,Moderate concern,3
CNC_GOVT,4,Concern,2
CNC_GOVT,5,Great concern,1
CNC_GOVT,8,Not applicable,6
CNC_HEIR,1,No concern,5
CNC_HEIR,2,Of little concern,4
CNC_HEIR,3,Moderate concern,3
CNC_HEIR,4,Concern,2
CNC_HEIR,5,Great concern,1
CNC_HEIR,8,Not applicable,6
CNC_INS,1,No concern,5
CNC_INS,2,Of little concern,4
CNC_INS,3,Moderate concern,3
CNC_INS,4,Concern,2
CNC_INS,5,Great concern,1
CNC_INS,8,No applicable,6
CNC_INVA,1,No concern,5
CNC_INVA,2,Of little concern,4
CNC_INVA,3,Moderate concern,3
CNC_INVA,4,Concern,2
CNC_INVA,5,Great concern,1
CNC_INVA,8,Not applicable,6
CNC_OHV,1,No concern,5
CNC_OHV,2,Of little concern,4
CNC_OHV,3,Moderate concern,3
CNC_OHV,4,Concern,2
CNC_OHV,5,Great concern,1
CNC_OHV,8,Not applicable,6
CNC_OTH,1,No concern,5
CNC_OTH,2,Of little concern,4
CNC_OTH,3,Moderate concern,3
CNC_OTH,4,Concern,2
CNC_OTH,5,Great concern,1
CNC_OTH,8,No applicable,6
CNC_STORM,1,Not concern,5
CNC_STORM,2,Of little concern,4
CNC_STORM,3,Moderate concern,3
CNC_STORM,4,Concern,2
CNC_STORM,5,Great concern,1
CNC_STORM,8,Not applicable,6
CNC_TAX,1,No concern,5
CNC_TAX,2,Of little concern,4
CNC_TAX,3,Moderate concern,3
CNC_TAX,4,Concern,2
CNC_TAX,5,Great concern,1
CNC_TAX,8,No applicable,6
CNC_TRES,1,No concern,5
CNC_TRES,2,Of little concern,4
CNC_TRES,3,Moderate concern,3
CNC_TRES,4,Concern,2
CNC_TRES,5,Great concern,1
CNC_TRES,8,Not applicable,6
CNC_WAT_LACK,1,No concern,5
CNC_WAT_LACK,2,Of little concern,4
CNC_WAT_LACK,3,Moderate concern,3
CNC_WAT_LACK,4,Concern,2
CNC_WAT_LACK,5,Great concern,1
CNC_WAT_LACK,8,No applicable,6
CNC_WAT_POL,1,No concern,5
CNC_WAT_POL,2,Of little concern,4
CNC_WAT_POL,3,Moderate concern,3
CNC_WAT_POL,4,Concern,2
CNC_WAT_POL,5,Great concern,1
CNC_WAT_POL,8,Not applicable,6
COST_5YR,0,No,2
COST_5YR,1,Yes,1
COST_5YR,9,Don't know,3
COST_KNOW,1,Not at all familiar,5
COST_KNOW,2,Slightly familiar,4
COST_KNOW,3,Somewhat familiar,3
COST_KNOW,4,Moderately familiar,2
COST_KNOW,5,Extremely familiar,1
CUT,0,No,2
CUT,1,Yes,1
CUT_FORESTER_2,-2,Not applicable,5
CUT_FORESTER_2,0,No,2
CUT_FORESTER_2,1,Yes,1
CUT_FORESTER_2,9,Don't know,3
CUT_TYPE_CHIPS,1,Wood chips or pulpwood,3
CUT_TYPE_FIRE,-2,Not applicable,5
CUT_TYPE_FIRE,1,Firewood,1
CUT_TYPE_LOGS,1,Logs,2
CUT_TYPE_OTH,1,Other,4
CUT_WHY_OTH,1,Other,3
CUT_WHY_PERS,1,Personal use,2
CUT_WHY_SALE,-2,Not applicable,4
CUT_WHY_SALE,1,Sale,1
EASE,0,No,2
EASE,1,Yes,1
EASE,9,Don't know,3
EASE_5YR_2,-2,Not applicable,6
EASE_5YR_2,1,Extremely unlikely,5
EASE_5YR_2,2,Unlikely,4
EASE_5YR_2,3,Undecided,3
EASE_5YR_2,4,Likely,2
EASE_5YR_2,5,Extremely likely,1
EASE_KNOW,1,Not at all familiar,5
EASE_KNOW,2,Slightly familiar,4
EASE_KNOW,3,Somewhat familiar,3
EASE_KNOW,4,Moderately familiar,2
EASE_KNOW,5,Extremely familiar,1
