"VARIABLE","LEVEL","LABEL","ORDER"
"ACQ_BOUGHT",1,"Purchased",1
"ACQ_DEVELOPER",1,"Land developer",3
"ACQ_FAMILY",1,"Parents or other relatives",1
"ACQ_FOREST_INDUSTRY",1,"Forest products company",5
"ACQ_GIFTED",1,"Gift",3
"ACQ_GOV",1,"Government",7
"ACQ_INDIVIDUAL",1,"Other individual",2
"ACQ_INHERITED",1,"Inherited",2
"ACQ_LOGGER",1,"Logging contracter",6
"ACQ_SRC_OTHER",1,"Other",8
"ACQ_TIMO",1,"TIMO",4
"ACQ_TYPE_OTHER",1,"Other",4
"ACRES_IN_STATE_CAT",1,"1-9",1
"ACRES_IN_STATE_CAT",10,"10-19",2
"ACRES_IN_STATE_CAT",20,"20-49",3
"ACRES_IN_STATE_CAT",50,"50-99",4
"ACRES_IN_STATE_CAT",100,"100-199",5
"ACRES_IN_STATE_CAT",200,"200-499",6
"ACRES_IN_STATE_CAT",500,"500-999",7
"ACRES_IN_STATE_CAT",1000,"1,000-4,999",8
"ACRES_IN_STATE_CAT",5000,"5,000+",9
"ACTIVITY_NONE",1,"None",10
"ACTIVITY_OTHER",1,"Other",11
"ACTIVITY_POSTING",1,"Posted land to restrict public access",7
"ACTIVITY_PRIV_REC",1,"Recreation or hunting (private)",8
"ACTIVITY_REC_PUBLIC",1,"Recreation or hunting (public, with permission)",9
"ADVICE",0,"No",2
"ADVICE",1,"Yes",1
"ADVICE_EXTENSION",1,"Extension forester",2
"ADVICE_FOREST_INDUSTRY",1,"Forest products company",6
"ADVICE_FORESTER",1,"Consulting forester",5
"ADVICE_LANDOWNER",1,"Other landowners",9
"ADVICE_LOGGER",1,"Logging contracter",7
"ADVICE_NPO",1,"Non-profit",8
"ADVICE_NRCS",1,"USDA employee",4
"ADVICE_OTHER",-2,"Not applicable",12
"ADVICE_OTHER",1,"Other",11
"ADVICE_STATE_FORESTRY",1,"Forestry commission forester",1
"ADVICE_STATE_OTHER",1,"State (other)",3
"ADVICE_UNKNOWN",1,"Unknown",10
"AGE",20,"Under 25 years",1
"AGE",30,"25 to 34",2
"AGE",40,"35 to 44",3
"AGE",50,"45 to 54",4
"AGE",60,"55 to 64",5
"AGE",70,"65 to 75",6
"AGE",80,"75 years or older",7
"CERTIFIED_FUTURE",-2,"Not applicable",5
"CERTIFIED_FUTURE",0,"No",2
"CERTIFIED_FUTURE",1,"Yes",1
"CERTIFIED_FUTURE",2,"Maybe",3
"CERTIFIED_FUTURE",3,"Don't know",4
"CERTIFIED_KNOWLEDGE",0,"No",2
"CERTIFIED_KNOWLEDGE",1,"Yes",1
"CERTIFIED_LAND",-2,"Not applicable",3
"CERTIFIED_LAND",0,"No",2
"CERTIFIED_LAND",1,"Yes",1
"CHEMICAL_APPLICATION",1,"Applied chemicals",4
"CONCERN_DEVELOPMENT",1,"1. Great Concern",1
"CONCERN_DEVELOPMENT",2,"2",2
"CONCERN_DEVELOPMENT",3,"3",3
"CONCERN_DEVELOPMENT",4,"4",4
"CONCERN_DEVELOPMENT",5,"5",5
"CONCERN_DEVELOPMENT",6,"6",6
"CONCERN_DEVELOPMENT",7,"7. No concern",7
"CONCERN_ENDANGERED_SPECIES",1,"1. Great Concern",1
"CONCERN_ENDANGERED_SPECIES",2,"2",2
"CONCERN_ENDANGERED_SPECIES",3,"3",3
"CONCERN_ENDANGERED_SPECIES",4,"4",4
"CONCERN_ENDANGERED_SPECIES",5,"5",5
"CONCERN_ENDANGERED_SPECIES",6,"6",6
"CONCERN_ENDANGERED_SPECIES",7,"7. No concern",7
"CONCERN_HEIRS",1,"1. Great Concern",1
"CONCERN_HEIRS",2,"2",2
"CONCERN_HEIRS",3,"3",3
"CONCERN_HEIRS",4,"4",4
"CONCERN_HEIRS",5,"5",5
"CONCERN_HEIRS",6,"6",6
"CONCERN_HEIRS",7,"7. No concern",7
"CONCERN_LAWSUITS",1,"1. Great Concern",1
"CONCERN_LAWSUITS",2,"2",2
"CONCERN_LAWSUITS",3,"3",3
"CONCERN_LAWSUITS",4,"4",4
"CONCERN_LAWSUITS",5,"5",5
"CONCERN_LAWSUITS",6,"6",6
"CONCERN_LAWSUITS",7,"7. No concern",7
"CONCERN_MISUSE",1,"1. Great Concern",1
"CONCERN_MISUSE",2,"2",2
"CONCERN_MISUSE",3,"3",3
"CONCERN_MISUSE",4,"4",4
"CONCERN_MISUSE",5,"5",5
"CONCERN_MISUSE",6,"6",6
"CONCERN_MISUSE",7,"7. No concern",7
"CONCERN_NOISE",1,"1. Great Concern",1
"CONCERN_NOISE",2,"2",2
"CONCERN_NOISE",3,"3",3
"CONCERN_NOISE",4,"4",4
"CONCERN_NOISE",5,"5",5
"CONCERN_NOISE",6,"6",6
"CONCERN_NOISE",7,"7. No concern",7
"CONCERN_REGULATIONS",1,"1. Great Concern",1
"CONCERN_REGULATIONS",2,"2",2
"CONCERN_REGULATIONS",3,"3",3
"CONCERN_REGULATIONS",4,"4",4
"CONCERN_REGULATIONS",5,"5",5
"CONCERN_REGULATIONS",6,"6",6
"CONCERN_REGULATIONS",7,"7. No concern",7
"CONCERN_STEALING",1,"1. Great Concern",1
"CONCERN_STEALING",2,"2",2
"CONCERN_STEALING",3,"3",3
"CONCERN_STEALING",4,"4",4
"CONCERN_STEALING",5,"5",5
"CONCERN_STEALING",6,"6",6
"CONCERN_STEALING",7,"7. No concern",7
"CONCERN_TAXES",1,"1. Great Concern",1
"CONCERN_TAXES",2,"2",2
"CONCERN_TAXES",3,"3",3
"CONCERN_TAXES",4,"4",4
"CONCERN_TAXES",5,"5",5
"CONCERN_TAXES",6,"6",6
"CONCERN_TAXES",7,"7. No concern",7
"CONCERN_TRESPASS",1,"1. Great Concern",1
"CONCERN_TRESPASS",2,"2",2
"CONCERN_TRESPASS",3,"3",3
"CONCERN_TRESPASS",4,"4",4
"CONCERN_TRESPASS",5,"5",5
"CONCERN_TRESPASS",6,"6",6
"CONCERN_TRESPASS",7,"7. No concern",7
"COST_SHARE",0,"No",2
"COST_SHARE",1,"Yes",1
"COST_SHARE_RECENT",-2,"Not applicable",4
"COST_SHARE_RECENT",0,"No",2
"COST_SHARE_RECENT",1,"Yes",1
"COST_SHARE_RECENT",2,"Don't remember",3
"DISABILITY_BLIND",0,"No",2
