VARIABLE,ï..TABLE,DROPDOWN,DESCRIPTION
TOTAL,TOTAL,Total area and number of ownerships,family forest ownerships
AC_LAND_CAT,SIZE,Size of land holdings,size of land holdings in acres
AC_WOOD_CAT,SIZE,Size of forest holdings,size of forest holdings in acres
PARC_MULTI,SIZE,Number of forested parcels,whether owners own multiple forested parcels
OWNTYPE,OWNTYPE_NUM,Ownership type,ownership type
OWNERS_NUMBER_CAT,OWNTYPE_NUM,Number of owners,number of owners
HOME_2,HOME_FARM,Part of home,whether owners have a primary residence within 1 mile of their forestland
CABIN_2,HOME_FARM,Part of cabin or second home,whether owners have a cabin or secondary residence within 1 mile of their forestland
FARM_2,HOME_FARM,Part of farm,whether owners have a farm within 1 mile of their forestland
OBJ_BEA,OBJ_1,Objectives: beauty or scenery,the importance of beauty or scenery as a reason for owning forestland
OBJ_NAT,OBJ_1,Objectives: nature or biological diversity,the importance of protecting nature or biological diversity as a reason for owning forestland
OBJ_WAT,OBJ_1,Objectives: water resources,the importance of protecting water resources as a reason for owning forestland
OBJ_WIL,OBJ_1,Objectives: wildlife,the importance of protecting or improving wildlife habitat as a reason for owning forestland
OBJ_INV,OBJ_1,Objectives: land investment,the importance of land investment as a reason for owning forestland
OBJ_PRI,OBJ_1,Objectives: privacy,the importance of privacy as a reason for owning forestland
OBJ_FAM,OBJ_2,Objectives: raising family,the importance of raising family as a reason for owning forestland
OBJ_CHILD,OBJ_2,Objectives: passing land on to children,the importance of passing land onto children or other heirs as a reason for owning forestland
OBJ_FIRE,OBJ_2,Objectives: firewood,the importance of firewood as a reason for owning forestland
OBJ_TIM,OBJ_2,Objectives: timber products,the importance of timber products as a reason for owning forestland
OBJ_NTFP,OBJ_2,Objectives: non-timber forest products,the importance of non-timber forest products as a reason for owning forestland
OBJ_HUNT,OBJ_2,Objectives: hunting,the importance of hunting as a reason for owning forestland
OBJ_REC,OBJ_3,Objectives: recreation,the importance of recreation (other than hunting) as a reason for owning forestland
ACQ_TYPE_PURCH,ACQ,Acquisition type,acquisition type
ACQ_TYPE_INHERIT,ACQ,Acquisition type,acquisition type
ACQ_TYPE_GIFT,ACQ,Acquisition type,acquisition type
ACQ_TYPE_OTHER,ACQ,Acquisition type,acquisition type
ACQ_SRC_PARENT,ACQ,Acquisition source,acquisition source
ACQ_SRC_SPOUSE,ACQ,Acquisition source,acquisition source
ACQ_SRC_FAM,ACQ,Acquisition source,acquisition source
ACQ_SRC_INDIV,ACQ,Acquisition source,acquisition source
ACQ_SRC_BUS,ACQ,Acquisition source,acquisition source
ACQ_SRC_GOV,ACQ,Acquisition source,acquisition source
TENURE_CAT,ACQ,Land tenure,land tenure
TRAN,TRAN,Land transfer,whether forestland was ever sold or given away
PARC,TRAN,Land parcellation,whether forestland was ever subdivided or split into multiple parcels as part of a land transfer
TRAN_TO_CHILD,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_FAM,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_INDIV,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_BUS,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_TO_GOV,TRAN,Recipients of transferred land,the entity to whom land was transferred
TRAN_RECENT,TRAN,Recent land transfers,whether or not land was transferred in the past 5 years
MAN_OWN,MAN,Primary decision maker,primary forest management decisions maker
MAN_SPOUSE,MAN,Primary decision maker,primary forest management decisions maker
MAN_CHILD,MAN,Primary decision maker,primary forest management decisions maker
MAN_PARENT,MAN,Primary decision maker,primary forest management decisions maker
MAN_FAM,MAN,Primary decision maker,primary forest management decisions maker
MAN_PARTNER,MAN,Primary decision maker,primary forest management decisions maker
MAN_FORESTER,MAN,Primary decision maker,primary forest management decisions maker
MAN_OTH,MAN,Primary decision maker,primary forest management decisions maker
MAN_PLAN_KNOW,MAN_PLAN,Management plan familiarity,landowners' familiary with management plans
MAN_PLAN,MAN_PLAN,Management plan,whether or not landowners have a management plan
MAN_PLAN_WRITER,MAN_PLAN,Management plan writer,who wrote the management plan for the forestland
MAN_PLAN_IMPLEMENT,MAN_PLAN,Management plan implementation,whether or not the landowners' have taken steps to implement the management plan
CUT,CUT,Timber harvesting,whether timber had been harvested during the landowners' tenure
CUT_TYPE_FIRE,CUT,Timber products harvested,type of timber products harvested
CUT_TYPE_LOGS,CUT,Timber products harvested,type of timber products harvested
CUT_TYPE_CHIPS,CUT,Timber products harvested,type of timber products harvested
